Document Name,Link to Source,Document Type,Judge/Author,Court Type,Country,State,Court,Date (MM/YYYY),Order Type,Case Types,AI Type?,AI Use Case for Filings?,Prohibited?,Disclose AI Use w/ Each Filing?,Disclose AI Tool Used?,Disclose How AI Tool Used?,Identify Sections Drafted with AI?,Disclose Process Used to Check Accuracy,All Parties Certify Accuracy or Non-Use on Notice of Appearance?,All Parties Certify Accuracy or Non-Use w/ each Filing?,"Certify Accuracy, if Planning to Use AI during Case?",Certify No Unauthorized Disclosure,"Certify Accuracy w/ Each Filing, only if AI Used?",Just a Warning to Follow Existing Court and Ethics Rules when using AI?,References Other Procedural Rules?,Maintain AI Prompt Records?,Proprietary / Confidential Info NonDisclosure Req?,Disclose Use of AI-Generated Evidence?,Provide Notice to Opposing Parties of AI-Generated Evidence?,Use of AI to Record in Courtroom?,Applies To,"Other Reqs, Notes"
Standing Order Governing Criminal Cases,https://www.ohsd.uscourts.gov/sites/ohsd/files//MJN%20Standing%20Criminal%20Order%208.19.2024.pdf,Standing Order,Judge Michael J. Newman,Federal,US,Ohio,US DC Southern District of Ohio,12/2023,Judge Level,Criminal,"Any AI, excluding standard research tools",Prepare,checked,No,,,,,,No,,,,,No,,,,,,"Pro Se Litigants,Attorneys",
Artificial Intelligence (AI),https://www.ilnd.uscourts.gov/judge-info.aspx?Bt1LmR2QgBbCj2VD6w9tXA==,Standing Order,Judge Iain D. Johnston,Federal,US,Illinois,US DC Northern District of Illinois,12/2023,Judge Level,Civil,Any AI,Use,,No,,,,,,No,,,,checked,"FRCP 11,FRCP 26(g)",,,,,,Any Parties,
Court's Standing Order on the Use of Generative AI,https://www.ohnd.uscourts.gov/sites/ohnd/files/Boyko.StandingOrder.GenerativeAI.pdf,Standing Order,Judge Christopher A. Boyko,Federal,US,Ohio,US DC Northern District of Ohio,12/2023,Judge Level,"Civil,Criminal","Any AI, excluding standard research tools",Prepare,checked,No,,,,,,No,,,,,FRCP 11,,,,,,"Pro Se Litigants,Attorneys","Order is titled using ""Generative AI"" but order only refers to ""Artificial Intelligence""/""AI"" and excludes standard legal search engines. Duty to immediately notify the Court if a party discovers use of AI in any document filed."
"Juvenile Local Rule 1.4, Use of Technology (effective 12/1/2023)",https://www.williamscountyoh.gov/DocumentCenter/View/2744/Juvenile-Local-Rule-14-Use-of-Technology-effective-1212023?bidId=,Local Rules,Judge Jeffrey A. Strausbaugh; Judge Melissa Peper Firestone; Judge Karen K. Gallagher,State,US,Ohio,"Court of Common Pleas, Juvenile Division: Defiance, Williams, and Henry Countries, Ohio",12/2023,Court Level,Civil,Any AI,Use,,Yes,,checked,,checked,,No,,,,,No,,,,,,"Any Parties,Attorneys",
"Probate Local Rule 80, Use of Technology (effective 12/1/2023) copy",https://www.williamscountyoh.gov/DocumentCenter/View/2745/Probate-Local-Rule-80-Use-of-Technology-effective-1212023?bidId=,Local Rules,Judge Jeffrey A. Strausbaugh; Judge Michael J. Bumb; Judge Amy C. Rosebrook; Judge Karen K. Gallagher,State,US,Ohio,"Court of Common Pleas, Probate Division: Defiance, Williams, and Henry Countries, Ohio",12/2023,Court Level,Civil,Any AI,Use,,Yes,,checked,,checked,,No,,,,,No,,,,,,"Any Parties,Attorneys",
Part Rules,https://www.nycourts.gov/LegacyPDFS/courts/9jd/PartRules/PR_HMBlackwood.pdf,Standing Order,Judge Helen M. Blackwood,State,US,New York,"Westchester County Court, 9th Judicial District",12/2023,Judge Level,Civil,Any AI,Generate Content,,Yes,,,checked,,,No,,,,,No,,,,,,"Pro Se Litigants,Attorneys",
JCAI In. v Wiseleap Solutions Rule 16(b) Scheduling Order,https://drive.google.com/file/d/1FQ-kc8ez47uXZviuhEDsAdZNiFUfqaek/view,Scheduling Order,Judge Roderick C. Young,Federal,US,Virginia,US DC Eastern District of Virginia,01/2024,Case Level,Civil,Any AI,Prepare,,Yes,,checked,,,,No,,,checked,,No,,,,,,Any Parties,
Bexar County Civil District Courts Local Rules,https://www.bexar.org/DocumentCenter/View/40208/Bexar-County-Civil-District-Court-Local-Rules-2024,Local Rules,-,State,US,Texas,Bexar County Civil District Court,01/2024,Court Level,Civil,Gen AI,Draft,,No,,,,,,Yes,,,,,No,,,,,,Attorneys,"AI requirement on p.11, Local Rule 3 H.1."
"Dialect, LLC v Amazon.com, Inc. Scheduling and Pretrial Order",https://drive.google.com/file/d/1gS_VPeEGcMwCMLfBz6q8x7vwPABAEO5s/view?usp=drive_link,Pretrial Order,Judge David J. Novak,Federal,US,Virginia,US DC Eastern District of Virginia,01/2024,Case Level,Civil,Any AI,Prepare,,Yes,,checked,,,,No,,,checked,,No,,,,,,Any Parties,
Standing Order for Civil Cases,https://drive.google.com/file/d/1vjhGwUZiFBq48cY2uGCBSxQBIp-BDqYF/view?usp=sharing,Standing Order,Judge S. Kato Crews,Federal,US,Colorado,US DC District of Colorado,01/2024,Judge Level,Civil,Gen AI,Draft,,No,,,,,,Yes,,,,,No,,,,,,All Filers,Specifies that every motion filed under FRCP 12 and 56 and any opposed motion must contain the certification regarding Use or Non-Use
Notice of Proposed Amendment to 5th CIR. R. 23,https://fingfx.thomsonreuters.com/gfx/legaldocs/mopajaxmava/11222023ai_5th.pdf,Proposed Rule Amendment,-,Federal,US,"Louisiana,Mississippi,Texas",US Court of Appeals Fifth Circuit,01/2024,Court Level,"Civil,Criminal",Gen AI,Draft,,No,,,,,,Yes,,,,,No,,,,,,"Pro Se Litigants,Attorneys",AI requirement is one part of a Certificate of Compliance that must accompany all filings
Notice to the Bar: Legal Practice: Preliminary Guidelines on the Use of Artificial Intelligence by New Jersey Lawyers,https://www.njcourts.gov/sites/default/files/notices/2024/01/n240125a.pdf,Guidelines,Chief Justice Stuart Rabner,State,US,New Jersey,New Jersey Supreme Court,01/2024,State Level,"Civil,Criminal",Gen AI,Generate Content,,No,,,,,,No,,,checked,checked,No,,,,,,Attorneys,Guidance on how New Jersey's existing RPCs apply to ethical use of AI
"Beckford v Elevance Health, Inc. Initial Pretrial Order",https://drive.google.com/file/d/14qini06Q_wv-vFdPr95211hfk_L9NvL3/view,Pretrial Order,Judge M. Hannah Lauck,Federal,US,Virginia,US DC Eastern District of Virginia,01/2024,Case Level,Civil,Any AI,Prepare,,Yes,,checked,,,,No,,,checked,,No,,,,,,Any Parties,
"Considerations when using ChatGPT and generative artificial intelligence
software based on large language models",https://www.barcouncilethics.co.uk/wp-content/uploads/2024/01/Considerations-when-using-ChatGPT-and-Generative-AI-Software-based-on-large-language-models-January-2024.pdf,Guidelines,General Council of the Bar,Federal,UK,-,-,01/2024,National,N/A,Gen AI,Use,,No,,,,,,No,,,checked,checked,No,,checked,,,,Attorneys,
